K,Alpha,Dataset,Building,MAE,MSE,RMSE,MAPE,SMAPE,R2,N_Points
4,2000,test,Wolf,20.098428018996525,548.094894228532,23.41142657397306,8.835307148705827,8.651101192761356,0.9219843625440043,3360
4,2000,test,Bull,0.538825358720374,0.824424375625071,0.9079781801481085,2.686046037831256,2.6490919632105996,0.8666739104868155,3360
4,2000,test,Robin,6.046949554768887,55.488184124424166,7.449039141018401,4.624973298772534,4.528741611446422,0.9689534208841952,3360
4,2000,test,Fox,2.3501257414162837,10.674776873822346,3.267227704617838,2.7597012343508576,2.7190494552989133,0.9581355920725698,3360
4,2000,test,Rat,3.8108778607407814,26.979186543503896,5.194149260803341,10.596177266842778,10.163072643161057,0.9353830752843981,3360
4,2000,test,Eagle,1.9125960464199936,5.8314013294644145,2.4148294617766313,5.611282750115424,5.577274449244378,0.8609045235986618,3360
4,2000,holdout,Wolf,17.174192181576508,427.84265258683337,20.68435767885562,7.808668571823679,7.6785164711413305,0.929274405417776,744
4,2000,holdout,Bull,0.6007686183784361,0.7490863673166934,0.8654977569680313,2.924361815415511,2.900122137524555,0.934443667891225,744
4,2000,holdout,Robin,4.019172811490717,38.73038520134999,6.223374101028315,3.139175923370045,3.059505203524314,0.9735807468993972,744
4,2000,holdout,Fox,2.0381955606498217,8.788509225068612,2.9645419924616707,2.905307519778211,2.7905700847355344,0.9466203083240564,744
4,2000,holdout,Rat,1.922589712509216,6.578618116763625,2.5648816964459833,7.550236158378494,7.388394543507758,0.9466251633794515,744
4,2000,holdout,Eagle,0.796670548027268,2.5968269750332715,1.6114673360118943,2.300621894085772,2.282812442841552,0.8574955929323984,744
4,2000,cross,Hog,1.1874755439730702,2.278255054352197,1.5093889672156071,1.7740839148431264,1.7726222692331988,0.9338647965663709,4104
5,2000,test,Wolf,19.186647245022904,509.5445708325594,22.57309395790837,8.452125390081951,8.28161017426088,0.9274716022273894,3360
5,2000,test,Bull,0.4914985174538397,0.6772763108023101,0.822967988929284,2.4525749216353785,2.422577099730147,0.8904707275658552,3360
5,2000,test,Robin,4.331242419480632,31.942412478834605,5.651761891555111,3.454716244317394,3.388360336299682,0.9821276790397383,3360
5,2000,test,Fox,2.0537056611103384,8.030863805504644,2.8338778741337185,2.423060067964413,2.391424008544877,0.9685045071819947,3360
5,2000,test,Rat,3.4264388966440817,22.012306818708392,4.691727487686001,9.543294552362898,9.167658594659182,0.9472790786250118,3360
5,2000,test,Eagle,1.6948876309113428,4.530450402239027,2.128485471465339,4.981316367018595,4.951299595569628,0.891935896466596,3360
5,2000,holdout,Wolf,9.851509670833671,158.26898663867658,12.580500253911868,4.612256633143027,4.541188578244276,0.9738369512336673,744
5,2000,holdout,Bull,0.5463795580428301,0.5984199238519152,0.77357606209856,2.6487137027093635,2.6338452111437203,0.947629249469496,744
5,2000,holdout,Robin,3.6853588018725536,33.34788363994896,5.7747626479318575,2.899555966257631,2.827042825133289,0.9772523259535628,744
5,2000,holdout,Fox,1.862238348200519,7.080223530255266,2.660868942705609,2.632791824603451,2.5479242903434383,0.956996102596816,744
5,2000,holdout,Rat,1.7428385368989348,5.208862127910484,2.282293173085019,6.864839082169006,6.744831577306303,0.9577385158825789,744
5,2000,holdout,Eagle,0.7377050729164218,2.20896754107206,1.4862595806493764,2.126863363491467,2.1109345053486757,0.8787799061321679,744
5,2000,cross,Hog,1.169674431798692,2.176538692304951,1.4753096936931416,1.7468808105348201,1.7457657853124167,0.9368175091187572,4104
6,2000,test,Wolf,10.415470834998802,174.85410098760593,13.223240941146233,4.702380131605141,4.601476627696183,0.9751113278120499,3360
6,2000,test,Bull,0.45877311783564956,0.5249987756079227,0.7245679923981757,2.282311410889347,2.2639370359694917,0.9150970837101416,3360
6,2000,test,Robin,4.0260152481806,27.626707398932783,5.256111433268209,3.214810976698056,3.1533331688341817,0.98454238914997,3360
6,2000,test,Fox,1.803821591311102,6.202540343531627,2.4904899806125758,2.1211889216246353,2.096508660281855,0.9756748377790709,3360
6,2000,test,Rat,3.1283583154683203,17.538224727236457,4.187866369314625,8.88255941154314,8.576434435063025,0.9579947992494972,3360
6,2000,test,Eagle,1.5311232387249383,3.6593041202114023,1.9129307672290188,4.500076511896221,4.4744684223611095,0.9127152083794353,3360
6,2000,holdout,Wolf,9.543836169372781,148.10099685093954,12.169675297679044,4.491878339092715,4.4214301983514375,0.9755177960935606,744
6,2000,holdout,Bull,0.49973467670715666,0.47885296577524306,0.6919920272483224,2.4372692631657795,2.4207775967065905,0.958093157978455,744
6,2000,holdout,Robin,3.5210802252179207,30.29023728554676,5.503656719449966,2.7519477373714367,2.686710792218482,0.9793380457962426,744
6,2000,holdout,Fox,1.542544575228829,4.885074242428711,2.21022040584841,2.1995059930278558,2.1340502101670165,0.9703290114174168,744
6,2000,holdout,Rat,1.4715606337868987,3.876164941562399,1.9687978417202714,5.801751463251209,5.694544874126322,0.9685511961937728,744
6,2000,holdout,Eagle,0.6521943363663875,1.7110474715829995,1.308070132516984,1.8707091206758268,1.8610693632929936,0.9061039461825022,744
6,2000,cross,Hog,1.129465289079191,1.9786139732295682,1.4066321385598894,1.68896123640517,1.6881297075580166,0.9425630429805557,4104
7,2000,test,Wolf,9.620772002250563,150.5241978401587,12.268830337084244,4.329763014075707,4.238053253150163,0.9785744378013564,3360
7,2000,test,Bull,0.35829226104745515,0.33843889779826425,0.5817550152755576,1.7960316386002977,1.7789333686700837,0.9452675877658478,3360
7,2000,test,Robin,3.4294595322509407,19.695712581056682,4.437985193875334,2.771295631017608,2.7198322904455208,0.9889799151199693,3360
7,2000,test,Fox,1.5390554102865381,4.362157413323738,2.0885778446885186,1.817826414444511,1.8000167357540318,0.9828924632754729,3360
7,2000,test,Rat,2.411940785563021,10.815106641799542,3.288632944218546,6.7416557046138985,6.575842484108904,0.9740971088754848,3360
7,2000,test,Eagle,1.156764546046784,2.1410137090780696,1.4632203214410568,3.402982978866225,3.3876673248462974,0.9489307449409656,3360
7,2000,holdout,Wolf,8.652381560381624,124.11592273748154,11.140732594290267,4.05435613269547,3.9876425614750852,0.9794827084685107,744
7,2000,holdout,Bull,0.39520766598634083,0.3124247186334464,0.5589496566180593,1.9188256139054654,1.909712115826869,0.9726581346192543,744
7,2000,holdout,Robin,3.2536185368186126,26.598792759164276,5.157401744984026,2.4846597780580297,2.430079031619982,0.9818560999478428,744
7,2000,holdout,Fox,1.3841077275772737,3.791912487229324,1.9472833607950653,1.9596058937788916,1.9140202810144027,0.9769686628019804,744
7,2000,holdout,Rat,1.3957149944413807,3.4524438832799276,1.8580753169018547,5.54618772464176,5.45208212664723,0.9719890066665957,744
7,2000,holdout,Eagle,0.6124685150151002,1.50508114583024,1.2268174867641233,1.7543459946444981,1.7459125604958092,0.9174066280359643,744
7,2000,cross,Hog,1.1135647988614432,1.9204083448342117,1.385787986971388,1.664834587404276,1.6642732047549398,0.9442526874598055,4104
8,2000,test,Wolf,9.406232673311635,145.22725009211894,12.05102693101791,4.228464711683731,4.138442245010911,0.9793284035096415,3360
8,2000,test,Bull,0.31191674504433436,0.25697567832380985,0.5069276854974581,1.5681050502656293,1.5547172627332493,0.9584418373547788,3360
8,2000,test,Robin,3.2208144165093358,18.068145983043344,4.250664181400754,2.611143814599223,2.560998607967874,0.9898905662063007,3360
8,2000,test,Fox,1.2915886048678693,3.0747753843357044,1.7535037451729907,1.5323857924669004,1.519444165130184,0.9879413263156143,3360
8,2000,test,Rat,1.976012351711177,7.041254136240921,2.65353615694999,5.6196924293734085,5.501594236986949,0.9831357336259476,3360
8,2000,test,Eagle,0.980292124101616,1.5275450847013499,1.2359389486141092,2.8824701485128106,2.8695262865395024,0.9635637132008934,3360
8,2000,holdout,Wolf,8.514727215966902,120.06919031936297,10.957608786563014,3.9918618566455857,3.9267065509273875,0.9801516636431669,744
8,2000,holdout,Bull,0.34536502451851625,0.23194242938549034,0.48160401720240076,1.67771753934863,1.6711147424730577,0.9797015463178455,744
8,2000,holdout,Robin,3.1570845560037117,24.570382240381303,4.956852049474676,2.4069531992853497,2.3588441696618245,0.983239744613628,744
8,2000,holdout,Fox,1.2629585136860797,3.123656327978648,1.7673868642656163,1.7851366674008928,1.7488358620691473,0.9810275204338983,744
8,2000,holdout,Rat,1.2543244899722077,2.805511709334909,1.6749661815496184,5.004152657875611,4.932960810318363,0.977237814011242,744
8,2000,holdout,Eagle,0.44096937172235146,0.7274514696904233,0.8529076560158334,1.2740322606734658,1.2683689286091393,0.9600801126315468,744
8,2000,cross,Hog,0.45994994838441516,0.38116991199390765,0.6173895949835142,0.6858694096064804,0.6852785239910837,0.9889350625495864,4104
6,1000,test,Wolf,7.1285227663560695,81.79232570342448,9.043910973877644,3.2019084365641577,3.157481229958877,0.9883577086815546,3360
6,1000,test,Bull,0.2932969344208696,0.2600822637899231,0.5099826112623087,1.4705906921364442,1.4548588051944475,0.957939439676858,3360
6,1000,test,Robin,2.4739972404214896,10.274430226243368,3.2053752083404166,1.9843175969336193,1.9618298953893343,0.994251282215803,3360
6,1000,test,Fox,1.3555934939258942,3.366032704182309,1.8346750949915653,1.603767630420606,1.5899725391727972,0.9867990715037306,3360
6,1000,test,Rat,2.2282799499178565,9.056006175938139,3.0093198859440213,6.320946045034434,6.157972324980827,0.9783102700909446,3360
6,1000,test,Eagle,1.0998467502733715,1.8984674692430632,1.3778488557323925,3.2401881162793225,3.2262013975342403,0.9547161613225718,3360
6,1000,holdout,Wolf,6.894117513183576,77.48847993326481,8.802754110689722,3.2402282228578843,3.2072149316359195,0.9871905739565304,744
6,1000,holdout,Bull,0.3106583399321723,0.2092141060934635,0.4573992851912468,1.5152943207534595,1.5087671516451608,0.9816906167041415,744
6,1000,holdout,Robin,2.0582228849937714,10.052952918650272,3.170639197173067,1.6601446303563705,1.6375912882772223,0.9931425544521306,744
6,1000,holdout,Fox,1.1460299525189963,2.5579307404927087,1.5993532256799023,1.6325322140596499,1.5960912752379715,0.9844636273616868,744
6,1000,holdout,Rat,1.019976663150001,1.865312539467453,1.3657644524102437,4.03573758964855,3.983256341567526,0.9848660082903071,744
6,1000,holdout,Eagle,0.4671994555646365,0.8626124190779169,0.9287693034752585,1.3380240586168681,1.3333529359630865,0.9526629719685991,744
6,1000,cross,Hog,0.37963276608007246,0.25448175322877226,0.5044618451664826,0.5685721270567656,0.5682425660949046,0.9926126785112227,4104
6,3000,test,Wolf,12.043852623963227,238.2923078473013,15.436719465200541,5.464297053009057,5.315706347240039,0.966081555414351,3360
6,3000,test,Bull,0.5423064650695126,0.7250676822224932,0.8515090617383312,2.7021208909472865,2.6766697076592587,0.882741896575027,3360
6,3000,test,Robin,5.585956104220942,48.33309711648901,6.952200882921106,4.454510405087603,4.3435686997293645,0.9729568132888594,3360
6,3000,test,Fox,2.0170192215982383,7.737472666288483,2.781631295892481,2.373551641052069,2.3430965195355484,0.9696551304202714,3360
6,3000,test,Rat,3.597606504455978,23.28765004228502,4.825727928746607,10.174624927119961,9.768892365450005,0.9442245477950507,3360
6,3000,test,Eagle,1.7680260985640384,4.883616346364753,2.2098905733915317,5.19201313976954,5.157691515467986,0.8835118861007363,3360
6,3000,holdout,Wolf,10.973585693184805,199.6308283355662,14.12907740567537,5.186867464723532,5.082527426833227,0.9669995290427261,744
6,3000,holdout,Bull,0.6004855761569596,0.6832041213606265,0.82656162586986,2.928615401696571,2.9054259257361257,0.9402093560473705,744
6,3000,holdout,Robin,4.394621635122612,47.141310096824505,6.865952963487626,3.4107808063577654,3.3125503315250318,0.9678433819734228,744
6,3000,holdout,Fox,1.7869510528528347,6.57154992907101,2.5635034482268617,2.546891297939103,2.462549984340372,0.9600856868823346,744
6,3000,holdout,Rat,1.7475633834942448,5.508828215010897,2.3470893069951337,6.855962115231924,6.7011630928716786,0.9553047766676681,744
6,3000,holdout,Eagle,0.7585694738957799,2.322254009433787,1.5238943563888498,2.1690390794759002,2.158254284507321,0.8725631573237635,744
6,3000,cross,Hog,1.3092282247895597,2.654125270153603,1.6291486335364258,1.9562576133061085,1.9555098442089076,0.9229537033860086,4104
